id,product_name,sale_amount,sale_date,total_sales,sale_year
1,Product A,100.0,2024-01-01,2537040.56,2024
2,Product B,150.0,2024-01-02,2537040.56,2024
3,contain,418.05,2024-07-04,2537040.56,2024
4,establish,290.75,2024-01-15,2537040.56,2024
5,still,166.79,2024-06-09,2537040.56,2024
6,already,42.78,2024-05-15,2537040.56,2024
7,able,88.98,2024-05-17,2537040.56,2024
8,away,308.33,2024-08-03,2537040.56,2024
9,above,247.19,2024-08-23,2537040.56,2024
10,interview,408.04,2024-02-03,2537040.56,2024
11,economy,458.87,2024-08-02,2537040.56,2024
12,study,202.49,2024-11-16,2537040.56,2024
13,health,47.89,2024-07-02,2537040.56,2024
14,opportunity,307.42,2024-09-02,2537040.56,2024
15,finish,37.7,2024-07-28,2537040.56,2024
16,law,452.31,2024-08-08,2537040.56,2024
17,sister,48.97,2024-09-25,2537040.56,2024
18,thing,402.48,2024-09-23,2537040.56,2024
19,those,254.53,2024-09-13,2537040.56,2024
20,story,311.26,2024-08-12,2537040.56,2024
21,minute,234.68,2024-02-17,2537040.56,2024
22,occur,497.21,2024-04-01,2537040.56,2024
23,policy,109.34,2024-08-18,2537040.56,2024
24,interest,445.46,2023-12-29,2537040.56,2023
25,present,97.06,2024-01-13,2537040.56,2024
26,clear,182.82,2024-03-18,2537040.56,2024
27,new,195.66,2024-12-18,2537040.56,2024
28,rate,275.53,2023-12-24,2537040.56,2023
29,use,92.64,2024-03-31,2537040.56,2024
30,by,58.06,2024-11-05,2537040.56,2024
31,commercial,221.09,2024-11-17,2537040.56,2024
32,under,474.93,2024-11-05,2537040.56,2024
33,before,79.1,2024-10-07,2537040.56,2024
34,may,291.24,2024-09-18,2537040.56,2024
35,continue,218.72,2024-03-07,2537040.56,2024
36,manage,141.76,2024-09-19,2537040.56,2024
37,effort,126.5,2024-04-11,2537040.56,2024
38,page,227.12,2024-11-17,2537040.56,2024
39,anything,468.93,2024-05-26,2537040.56,2024
40,party,94.24,2024-10-07,2537040.56,2024
41,career,223.66,2024-10-21,2537040.56,2024
42,budget,465.1,2024-12-06,2537040.56,2024
43,daughter,494.67,2024-08-01,2537040.56,2024
44,read,263.84,2024-01-23,2537040.56,2024
45,employee,400.97,2024-11-05,2537040.56,2024
46,list,286.37,2024-08-09,2537040.56,2024
47,base,103.36,2024-11-19,2537040.56,2024
48,candidate,413.28,2024-07-07,2537040.56,2024
49,know,268.37,2024-07-04,2537040.56,2024
50,region,483.57,2024-02-01,2537040.56,2024
51,minute,335.56,2024-09-26,2537040.56,2024
52,country,82.76,2024-04-29,2537040.56,2024
53,away,266.2,2024-03-31,2537040.56,2024
54,you,16.36,2024-02-07,2537040.56,2024
55,I,191.63,2024-06-21,2537040.56,2024
56,low,494.52,2024-05-31,2537040.56,2024
57,successful,167.29,2024-12-01,2537040.56,2024
58,we,350.79,2024-06-10,2537040.56,2024
59,news,433.25,2024-05-06,2537040.56,2024
60,perform,494.03,2024-07-11,2537040.56,2024
61,else,303.16,2024-04-23,2537040.56,2024
62,commercial,39.82,2024-11-24,2537040.56,2024
63,realize,240.18,2024-12-10,2537040.56,2024
64,expect,176.33,2024-06-12,2537040.56,2024
65,appear,256.55,2024-08-11,2537040.56,2024
66,kitchen,109.29,2024-07-04,2537040.56,2024
67,improve,31.48,2024-12-18,2537040.56,2024
68,name,204.08,2024-01-06,2537040.56,2024
69,finally,30.14,2024-01-15,2537040.56,2024
70,fast,306.83,2024-12-05,2537040.56,2024
71,see,466.08,2024-04-21,2537040.56,2024
72,various,289.99,2024-12-07,2537040.56,2024
73,scene,350.69,2024-10-31,2537040.56,2024
74,week,153.82,2024-11-06,2537040.56,2024
75,marriage,235.33,2024-05-13,2537040.56,2024
76,create,276.16,2024-07-01,2537040.56,2024
77,information,105.01,2024-05-21,2537040.56,2024
78,race,389.65,2024-11-17,2537040.56,2024
79,three,179.43,2024-04-08,2537040.56,2024
80,doctor,463.34,2024-10-17,2537040.56,2024
81,night,187.5,2024-04-14,2537040.56,2024
82,return,303.75,2024-09-14,2537040.56,2024
83,office,326.92,2024-11-29,2537040.56,2024
84,accept,194.17,2024-11-18,2537040.56,2024
85,candidate,267.48,2024-08-18,2537040.56,2024
86,step,335.24,2024-11-25,2537040.56,2024
87,these,278.84,2024-09-23,2537040.56,2024
88,ahead,346.98,2024-08-05,2537040.56,2024
89,if,282.72,2024-03-29,2537040.56,2024
90,theory,228.24,2024-08-17,2537040.56,2024
91,trial,66.6,2024-08-13,2537040.56,2024
92,upon,52.3,2024-11-22,2537040.56,2024
93,goal,415.76,2024-10-11,2537040.56,2024
94,share,394.47,2024-01-31,2537040.56,2024
95,camera,293.42,2024-08-24,2537040.56,2024
96,type,334.66,2024-11-26,2537040.56,2024
97,your,109.39,2024-03-11,2537040.56,2024
98,approach,45.82,2024-11-30,2537040.56,2024
99,around,355.03,2024-02-08,2537040.56,2024
100,page,100.65,2024-06-19,2537040.56,2024
101,beautiful,10.47,2024-01-02,2537040.56,2024
102,short,271.88,2024-06-04,2537040.56,2024
